Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Pearson Square,4600000,New development,1961,3,3,3,Fitzrovia,London,W1T 3BF,2345.741968383478
The Chase,700000,House,1174,4,4,4,Loughton,Essex,IG10 4RE,596.252129471891
Piercing Hill,1350000,House,2312,4,4,4, Epping,Essex,CM16 7JW,583.9100346020762
Bramah House,1325000,New development,824,2,2,2,9 Gatliff Road,London,SW1W 8DP,1608.009708737864
Tedworth Square,1850000,Flat / Apartment,981,2,2,2,Unknown,London,SW3 4DU,1885.8307849133537
Ascott Avenue,1000000,House,1549,4,4,4,Ealing,London,W5 5QB,645.577792123951
Carleton Close,1275000,House,2344,5,5,5,Esher,Surrey,KT10 8EE,543.9419795221843
Redcliffe Square,2000000,Flat / Apartment,1072,2,2,2,Unknown,London,SW10 9JY,1865.6716417910447
Palmers Road,1200000,House,1760,4,4,4,East Sheen,London,SW14 7NB,681.8181818181819
Gaskarth Road,1175000,House,1668,4,4,4,Unknown,London,SW12 9NL,704.4364508393286
Kirkstall Road,1300000,House,2177,4,4,4,Unknown,London,SW2 4HD,597.1520440973817
Woodfield Lane,3500000,House,4213,7,7,7,Unknown,London,SW16 1LF,830.7619273676715
Mayford Road,800000,Flat / Apartment,1035,2,2,2,Unknown,London,SW12 8SN,772.9468599033817
Merton Avenue,1200000,House,1615,4,4,4,Chiswick,London,W4 1TA,743.0340557275542
The Orchard,3295000,House,3230,5,5,5, Chiswick,London,W4 1JZ,1020.123839009288
Ravensmede Way,425000,Flat / Apartment,548,2,2,2,Unknown,London,W4 1TF,775.5474452554745
Carlton House,1215000,New development,1091,3,3,3, Putney,London,SW15 2BS,1113.6571952337306
Slaidburn Street,1850000,House,1341,3,3,3,Unknown,London,SW10 0JW,1379.5674869500374
Rocks Lane,2275000,House,2652,5,5,5,Barnes,London,SW13 0DB,857.843137254902
Hampshire Court,400000,Flat / Apartment,601,2,2,2, Barnes,London,SW13 0ES,665.5574043261231
Valiant House,800000,Flat / Apartment,1143,3,3,3, Battersea,London,SW11 3LX,699.912510936133
Queenstown Road,700000,Flat / Apartment,940,2,2,2,Battersea,London,SW8 3QD,744.6808510638298
Aslett Street,750000,Duplex,1522,4,4,4,Unknown,London,SW18 2BQ,492.772667542707
City Road,500000,Flat / Apartment,561,1,1,1,Clerkenwell,London,EC1V 1AG,891.2655971479501
Cadogan Lane,3975000,House,1726,3,3,3,Knightsbridge,London,SW1X 9DP,2303.012746234067
Strawberry Vale,1999995,House,2537,5,5,5,Unknown,Twickenham,TW1 4RX,788.3307055577453
Seaton Close,1099000,House,1554,4,4,4, Putney,London,SW15 3TJ,707.2072072072073
Roseland House,539950,Flat / Apartment,627,2,2,2,Weimar Street,London,SW15 1SY,861.164274322169
Woodhouse Eaves,1050000,House,1677,4,4,4,Northwood,Middlesex,HA6 3NF,626.1180679785331
Gayville Road,850000,Flat / Apartment,901,2,2,2,Unknown,London,SW11 6JW,943.3962264150944
Edgeley Road,599950,Flat / Apartment,699,2,2,2,Unknown,London,SW4 6HB,858.2975679542203
Marmion Road,695000,Flat / Apartment,987,2,2,2,Unknown,London,SW11 5PA,704.1540020263425
Carlton Mansions,950000,Flat / Apartment,922,3,3,3, Maida Vale,London,W9 1NS,1030.3687635574838
Liverpool Road,1999995,House,2073,4,4,4,Unknown,London,N7 8PR,964.7829232995658
Matilda Street,365000,Flat / Apartment,520,1,1,1,Unknown,London,N1 1BG,701.9230769230769
Kidderpore Avenue,1200000,Flat / Apartment,1218,3,3,3,Hampstead,London,NW3 7SF,985.2216748768473
Palace Road,2950000,House,4389,6,6,6,East Molesey,Surrey,KT8 9DW,672.1348826611985
Sketch Apartments,380000,Flat / Apartment,550,1,1,1,42 White Horse Lane,London,E1 3FY,690.9090909090909
Alleyn Park,1875000,House,3435,5,5,5,Unknown,London,SE21 8AA,545.8515283842795
The Chase,5100000,House,4459,7,7,7,Unknown,London,SW4 0NH,1143.7542049786948
Andersens Wharf,490000,Flat / Apartment,771,2,2,2, Canary Wharf,London,E14 7DX,635.5382619974059
Lonsdale Road,2750000,House,2612,6,6,6,Barnes,London,SW13 9ED,1052.833078101072
Townshend Court,450000,Flat / Apartment,460,1,1,1, St John's Wood,London,NW8 7DP,978.2608695652174
Weldin Mews,825000,House,1224,3,3,3,Putney,London,SW18 1FT,674.0196078431372
Hotham Road,1695000,House,2205,4,4,4,Putney,London,SW15 1QJ,768.7074829931972
Carlton Drive,425000,Flat / Apartment,548,1,1,1,Putney,London,SW15 2BD,775.5474452554745
Gloucester Avenue,1250000,Flat / Apartment,896,2,2,2,Primrose Hill,London,NW1 8JD,1395.0892857142858
Northumberland Place,3750000,House,2239,4,4,4,Unknown,London,W2 5BS,1674.8548459133542
The Claves,785000,New development,1263,2,2,2, Mill Hill,London,NW7 1NY,621.5360253365004
City Road,675000,Flat / Apartment,891,2,2,2,Unknown,London,EC1V 1LA,757.5757575757576
Forest Road,465000,Flat / Apartment,518,1,1,1,Hackney,London,E8 3BL,897.6833976833976
Howitt Road,1350000,Flat / Apartment,1023,2,2,2,Belsize Park,London,NW3 4LJ,1319.6480938416423
Ashington Road,2500000,House,2458,5,5,5,Fulham,London,SW6 3QJ,1017.0870626525631
Winterdown Road,675000,House,915,2,2,2,Esher,Surrey,KT10 8LP,737.7049180327868
Milton Road,945000,House,1112,3,3,3,East Sheen,London,SW14 8JP,849.8201438848921
Dundee Wharf,725000,Flat / Apartment,861,2,2,2, Limehouse,London,E14 8AY,842.0441347270615
Wharfside Point South,325000,Flat / Apartment,469,1,1,1, Canary Wharf,London,E14 9EX,692.9637526652452
Myddelton Square,800000,Flat / Apartment,742,2,2,2,Finsbury,London,EC1R 1YE,1078.167115902965
Cloth Court,595000,New development,476,1,1,1,Farringdon,London,EC1A 7LS,1250.0
Edensor Gardens,425000,Flat / Apartment,740,2,2,2,Grove Park,London,W4 2QY,574.3243243243244
Lillian Road,1250000,House,1380,3,3,3,Barnes,London,SW13 9JF,905.7971014492754
Glebe Road,2100000,House,1959,5,5,5,Barnes,London,SW13 0DR,1071.9754977029097
Knowsley Road,875000,House,869,2,2,2,Battersea,London,SW11 5BL,1006.9044879171462
Poyntz Road,1095000,House,1238,3,3,3,Battersea,London,SW11 5BH,884.4911147011309
Battersea Church Road,1495000,Penthouse,1680,4,4,4,Battersea,London,SW11 3NA,889.8809523809524
Hove Court,895000,Flat / Apartment,1221,3,3,3, Wimbledon,London,SW19 4AG,733.005733005733
Birdhurst Road,650000,Flat / Apartment,1087,3,3,3,Unknown,London,SW18 1AR,597.9760809567617
Eaton Place,3500000,Flat / Apartment,1548,3,3,3,Belgravia,London,SW1X 8AD,2260.9819121447026
Chevalier House,4750000,Flat / Apartment,1559,2,2,2, Knightsbridge,London,SW3 1BW,3046.8248877485566
Macaulay Court,550000,Flat / Apartment,690,2,2,2,Macaulay Road,London,SW4 0QU,797.1014492753624
The Green,525000,Flat / Apartment,1299,3,3,3, Buckhurst Hill,Essex,IG9 5NQ,404.15704387990763
Chelsea Waterfront,4035000,New development,2174,4,4,4, Chelsea,London,SW10 0QH,1856.0257589696412
Melbourne House,1150000,Flat / Apartment,933,2,2,2,50 Kensington Place,London,W8 7PW,1232.583065380493
Peel Street,2350000,House,1327,2,2,2,Unknown,London,W8 7PA,1770.9118311981915
Parkhill,2100000,Flat / Apartment,2810,3,3,3, Esher,Surrey,KT10 9NP,747.3309608540925
Greenways,1000000,House,2590,4,4,4,Esher,Surrey,KT10 0QD,386.1003861003861
Tower Bridge Road,780000,Penthouse,1010,2,2,2,Unknown,London,SE1 2AW,772.2772277227723
Becmead Avenue,1595000,House,3260,6,6,6,Unknown,London,SW16 1UQ,489.2638036809816
Pavilion Square,1000000,House,2456,3,3,3,Unknown,London,SW17 7DN,407.1661237785016
Blandfield Road,850000,House,953,2,2,2,Unknown,London,SW12 8BQ,891.9202518363064
Beechmore Road,625000,Flat / Apartment,967,1,1,1,Unknown,London,SW11 4ET,646.3288521199586
Trott Street,1300000,House,1457,4,4,4,Battersea,London,SW11 3DS,892.2443376801647
Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN,1255.8535547041295
South Park Road,995000,House,1184,3,3,3,Wimbledon,London,SW19 8SZ,840.3716216216217
Wycombe Place,1150000,House,1705,3,3,3,Unknown,London,SW18 2LT,674.4868035190616
Battersea Reach,700000,Flat / Apartment,814,2,2,2, Battersea,London,SW18 1TA,859.9508599508599
Cicada Road,575000,Flat / Apartment,619,2,2,2,Unknown,London,SW18 2NW,928.9176090468497
Southborough Road,1675000,House,1749,4,4,4,South Hackney,London,E9 7EE,957.6901086335049
Trevor Square,4500000,Flat / Apartment,1607,2,2,2,Unknown,London,SW7 1EA,2800.2489110143124
Eaton Square,820000,Flat / Apartment,992,1,1,1,Unknown,London,SW1W 9BD,826.6129032258065
Northumberland Place,2950000,House,2400,3,3,3,Richmond,Surrey,TW10 6TS,1229.1666666666667
Felsham Road,635000,Flat / Apartment,774,2,2,2,Putney,London,SW15 1BB,820.4134366925065
Langside Avenue,1995000,House,3256,5,5,5,Putney,London,SW15 5QT,612.7149877149877
Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE,1014.4539614561028
Victoria Avenue,1495000,House,2566,5,5,5,Surbiton,Surrey,KT6 5DL,582.6188620420888
Arnison Road,2250000,House,3364,5,5,5,East Molesey,Surrey,KT8 9JJ,668.8466111771701
Upper Richmond Road West,1250000,House,2032,6,6,6,Richmond,Surrey,TW10 5DY,615.1574803149606
Duckman Tower,825000,Flat / Apartment,1026,3,3,3, Canary Wharf,London,E14 9BL,804.093567251462
Clerkenwell Road,875000,Flat / Apartment,767,2,2,2,Clerkenwell,London,EC1M 5PY,1140.8083441981746
Meredyth Road,2175000,House,2108,5,5,5,Barnes,London,SW13 0DS,1031.7836812144212
Rectory Road,2250000,House,2332,5,5,5,Barnes,London,SW13 0DT,964.8370497427101
Alexandra Avenue,975000,Flat / Apartment,1100,2,2,2,Battersea,London,SW11 4DZ,886.3636363636364
Edna Street,1735000,House,2144,4,4,4,Battersea,London,SW11 3DP,809.2350746268656
Kingholme House,1375000,House,1335,3,3,3, Wimbledon,London,SW19 4RD,1029.9625468164793
Tonsley Road,1295000,House,1811,4,4,4,Unknown,London,SW18 1BG,715.0745444505798
Addison House,875000,Flat / Apartment,693,2,2,2,Grove End Road,London,NW8 9EL,1262.6262626262626
Jade Terrace,1950000,House,1873,5,5,5, South Hampstead,London,NW6 4EQ,1041.1105178857447
Edge Apartments,995000,Flat / Apartment,1243,2,2,2, Twickenham,Middlesex,TW1 4RX,800.4827031375704
Church Road,3450000,House,3825,5,5,5, Richmond,Surrey,TW10 5HG,901.9607843137255
Elsworthy Terrace,1295000,Flat / Apartment,1366,2,2,2,Unknown,London,NW3 3DR,948.0234260614934
Stanmore Hill,2500000,House,4222,6,6,6,Stanmore,Middlesex,HA7 3BY,592.1364282330649
Bickenhall Mansions,2150000,Flat / Apartment,1672,3,3,3, Marylebone,London,W1U 6BT,1285.8851674641148
Goodwood Court,800000,Flat / Apartment,548,2,2,2, Marylebone,London,W1W 5DZ,1459.85401459854
Portland Chambers,1750000,Flat / Apartment,883,2,2,2, Fitzrovia,London,W1W 6RP,1981.8799546998866
Monkhams Avenue,1250000,House,1901,4,4,4,Woodford Green,Essex,IG8 0HB,657.5486586007364
Bowden House,1178000,New development,847,2,2,2, Battersea,London,SW11 4FA,1390.7910271546634
One Bishopsgate Plaza,1285000,New development,652,1,1,1,Unknown,City Of London,EC2M 4JY,1970.8588957055215
Aubrey Road,7950000,House,3443,5,5,5,Unknown,London,W8 7JJ,2309.032820214929
Wynnstay Gardens,2150000,Flat / Apartment,1806,4,4,4,Unknown,London,W8 6UP,1190.4761904761904
Battledean Road,1895000,House,2132,5,5,5,Highbury,London,N5 1UZ,888.8367729831144
Galleria,1200000,Flat / Apartment,1355,2,2,2,29 Laycock Street,London,N1 1UR,885.6088560885609
Independent Place,725000,House,804,1,1,1,Hackney,London,E8 2HE,901.7412935323383
Wildwood Grove,1100000,House,1069,2,2,2,Hampstead,London,NW3 7HU,1028.999064546305
Gifford Gardens,1000000,New development,2258,4,4,4,Unknown,London,W7 3AS,442.8697962798937
Ternary Place,600000,New development,870,1,1,1, Ealing,London,W5 3HJ,689.6551724137931
Gloucester Road,695000,Flat / Apartment,537,1,1,1,Unknown,London,SW7 4AU,1294.2271880819367
Gosberton Road,1450000,House,1921,4,4,4,Unknown,London,SW12 8LF,754.8152004164498
Foxbourne Road,699950,Flat / Apartment,902,2,2,2,Unknown,London,SW17 8EN,775.9977827050998
Ravenslea Road,1295000,House,1674,4,4,4,Balham,London,SW12 8RT,773.5961768219832
Cranley Gardens,2600000,Flat / Apartment,1500,3,3,3,Unknown,London,SW7 3DD,1733.3333333333333
Crooked Billet,600000,House,570,2,2,2,Wimbledon,London,SW19 4RQ,1052.6315789473683
Alverstone Avenue,895000,House,900,3,3,3,Wimbledon,London,SW19 8BD,994.4444444444445
Leopold Road,1160000,Penthouse,1112,2,2,2,Wimbledon,London,SW19 7JQ,1043.1654676258993
Bloomsbury Place,500000,Flat / Apartment,622,2,2,2,Unknown,London,SW18 2JB,803.8585209003215
Chatham Place,625000,Flat / Apartment,797,2,2,2,Unknown,London,E9 6FJ,784.1907151819322
Mortimer Court,450000,Flat / Apartment,377,1,1,1,Abbey Road,London,NW8 9AD,1193.6339522546418
Lebanon Park,2750000,House,2999,7,7,7,Twickenham,Middlesex,TW1 3DG,916.972324108036
St. Quintin Avenue,899950,Flat / Apartment,1115,3,3,3,Unknown,London,W10 6PB,807.1300448430493
Pembridge Square,1250000,Flat / Apartment,649,1,1,1,Unknown,London,W2 4EH,1926.040061633282
Holland Park Avenue,1650000,Flat / Apartment,1055,2,2,2,Unknown,London,W11 4UE,1563.9810426540284
Stanley Crescent,3450000,Penthouse,1575,2,2,2,Notting Hill,London,W11 2NA,2190.4761904761904
Stanley Crescent,2975000,Flat / Apartment,1657,3,3,3,Unknown,London,W11 2NA,1795.4133977066988
Wimpole Mews,2500000,House,1266,3,3,3,Marylebone,London,W1G 8PE,1974.7235387045814
Cadogan Gardens,2150000,Flat / Apartment,1064,2,2,2,Sloane Square,London,SW3 2RE,2020.6766917293232
Park Mansions,1995000,Flat / Apartment,1053,2,2,2,Knightsbridge,London,SW1X 7QS,1894.5868945868947
Pont Street,1700000,Flat / Apartment,1045,2,2,2,Unknown,London,SW1X 0AD,1626.7942583732058
Empire House,2600000,Flat / Apartment,1722,3,3,3,Thurloe Place,London,SW7 2RU,1509.8722415795587
Cadogan Gardens,1675000,Flat / Apartment,905,2,2,2,Unknown,London,SW3 2TH,1850.828729281768
Chester Street,1495000,Flat / Apartment,776,1,1,1,Unknown,London,SW1X 7BB,1926.5463917525774
Rutland Gate,2895000,Flat / Apartment,1398,2,2,2,Unknown,London,SW7 1PJ,2070.815450643777
Rutland Gate,1450000,Flat / Apartment,675,1,1,1,Unknown,London,SW7 1BB,2148.1481481481483
Hirst Court,795000,Flat / Apartment,691,1,1,1,20 Gatliff Road,London,SW1W 8QD,1150.5065123010131
Holland Park Avenue,1895000,Flat / Apartment,1522,2,2,2,Unknown,London,W11 3QU,1245.072273324573
Imperial Court,1850000,Flat / Apartment,1480,3,3,3,4-10 Lexham Gardens,London,W8 5JH,1250.0
Campden Hill Gate,3500000,Flat / Apartment,1804,4,4,4,Duchess Of Bedford's Walk,London,W8 7QJ,1940.1330376940134
Cornwall Mansions,2895000,Flat / Apartment,1850,3,3,3,33 Kensington Court,London,W8 5BG,1564.8648648648648
Campden House,1250000,Flat / Apartment,1317,3,3,3,29 Sheffield Terrace,London,W8 7ND,949.1268033409264
Melbury Court,4250000,Flat / Apartment,2713,6,6,6,Kensington High Street,London,W8 6NH,1566.531514928124
Lexham Gardens,1300000,Flat / Apartment,1162,2,2,2,Unknown,London,W8 5JR,1118.7607573149742
Thackeray House,1175000,Flat / Apartment,793,2,2,2,Thackeray Street,London,W8 5HA,1481.7150063051702
Kensington Church Street,4450000,Penthouse,1894,3,3,3,Unknown,London,W8 7LP,2349.5248152059135
Winchester Court,1550000,Flat / Apartment,923,2,2,2,Vicarage Gate,London,W8 4AF,1679.3066088840737
Hornton Street,1300000,Flat / Apartment,914,2,2,2,Unknown,London,W8 7NP,1422.3194748358862
Vincent Close,1550000,House,2602,4,4,4,Esher,Surrey,KT10 8AW,595.695618754804
Summer Road,1325000,House,2410,5,5,5,Thames Ditton,Surrey,KT7 0QP,549.792531120332
Sheen Gate Gardens,1450000,House,1899,4,4,4,East Sheen,London,SW14 7PD,763.5597682991048
Ranmere Street,1175000,House,1503,4,4,4,Unknown,London,SW12 9QQ,781.7697937458416
Carlton Drive,795000,New development,823,2,2,2,Unknown,London,SW15 2BS,965.9781287970839
Drayton Gardens,4750000,House,3104,6,6,6,Chelsea,London,SW10 9RY,1530.2835051546392
Kings Court Mansions,799950,Flat / Apartment,890,2,2,2,721 Fulham Road,London,SW6 5PB,898.8202247191011
Lower Mall,650000,Flat / Apartment,743,2,2,2,Unknown,London,W6 9DJ,874.8317631224764
Burns Road,850000,House,1167,3,3,3,Battersea,London,SW11 5GX,728.363324764353
Candlemakers Apartments,560000,Flat / Apartment,779,1,1,1, Battersea,London,SW11 3RS,718.8703465982028
Tyneham Road,910000,House,960,3,3,3,Battersea,London,SW11 5XP,947.9166666666666
Emerson Court,399950,Flat / Apartment,621,1,1,1, Wimbledon,London,SW19 7PQ,644.0418679549115
Wimbledon Hill Road,465000,Flat / Apartment,592,1,1,1,Wimbledon,London,SW19 7QU,785.472972972973
Swanage Road,1535000,House,2352,5,5,5,Unknown,London,SW18 2DY,652.6360544217687
Lammas Road,725000,House,1344,5,5,5,Richmond,Surrey,TW10 7YD,539.4345238095239
Kenilworth Court,1295000,Flat / Apartment,1702,4,4,4, Putney,London,SW15 1HA,760.8695652173913
Oakhill Road,825000,Flat / Apartment,947,2,2,2,Putney,London,SW15 2FJ,871.1721224920802
Gloucester Avenue,1195000,Flat / Apartment,879,2,2,2,Primrose Hill,London,NW1 8JA,1359.4994311717862
Regents Park Road,1250000,Flat / Apartment,1061,2,2,2,Regent's Park,London,NW1 7SY,1178.13383600377
Harley Road,1350000,Flat / Apartment,1225,2,2,2,Unknown,London,NW3 3BN,1102.0408163265306
St Marys Avenue,1225000,House,2289,5,5,5,Northwood,Middlesex,HA6 3AY,535.1681957186545
Saxon Court,585000,Flat / Apartment,1032,2,2,2, Northwood,Middlesex,HA6 3FG,566.8604651162791
Bromells Road,550000,New development,542,1,1,1,Unknown,London,SW4 0BG,1014.760147601476
Paramount Court,985000,Flat / Apartment,677,2,2,2, Bloomsbury,London,WC1E 6JP,1454.9483013293943
Grosvenor Avenue,530000,Flat / Apartment,482,1,1,1,Highbury,London,N5 2NR,1099.585062240664
Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN,1415.0943396226414
Lawford Road,1375000,House,1340,3,3,3,Islington,London,N1 5BJ,1026.1194029850747
Amhurst Road,575000,Flat / Apartment,707,2,2,2,Hackney,London,E8 2AG,813.2956152758132
Highfields Grove,2950000,House,2740,4,4,4,Highgate,London,N6 6HN,1076.6423357664235
Basuto Road,1950000,House,1795,3,3,3, Parsons Green,Fulham,SW6 4BL,1086.350974930362
Napier Avenue,3250000,House,3156,5,5,5,Fulham,London,SW6 3PT,1029.7845373891
Ember Lane,1250000,House,1980,4,4,4,Esher,Surrey,KT10 8EQ,631.3131313131313
Sandown House,975000,Penthouse,1634,3,3,3, Esher,Surrey,KT10 9SL,596.6952264381885
Pine Walk,1100000,House,1716,4,4,4,Surbiton,Surrey,KT5 8NJ,641.025641025641
Hill House Road,900000,House,1989,3,3,3,Unknown,London,SW16 2AQ,452.4886877828054
Wards Wharf Approach,300000,Flat / Apartment,517,1,1,1,Newham,London,E16 2ER,580.2707930367504
Junction House,510000,New development,577,1,1,1, Battersea,London,SW11 2NU,883.8821490467938
Foskett Road,350000,Flat / Apartment,302,1,1,1,Fulham,London,SW6 3LY,1158.9403973509934
Sinclair Gardens,875000,Flat / Apartment,981,2,2,2,Brook Green,London,W14 0AU,891.946992864424
Kingston Vale,1095000,House,2642,3,3,3,Kingston,London,SW15 3RN,414.45874337623013
Eversley Park,3350000,House,3256,5,5,5,Wimbledon,London,SW19 4UU,1028.8697788697789
Ridgmount Road,1350000,House,1723,4,4,4,Unknown,London,SW18 2DA,783.5171213000581
Regents Park Road,950000,Flat / Apartment,817,2,2,2,Unknown,London,NW1 7TL,1162.7906976744187
Green Lane,1275000,House,2711,5,5,5,Oxhey,Hertfordshire,WD19 4NJ,470.3061600885282
Manchuria Road,975000,Flat / Apartment,1013,2,2,2,Unknown,London,SW11 6AE,962.4876604146101
Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW,1561.2648221343873
The Gatehouse,475000,Flat / Apartment,650,2,2,2,1 Tiltman Place,London,N7 7EE,730.7692307692307
Tollington Way,575000,New development,840,2,2,2, London,N7 6QX,N7 6RG,684.5238095238095
The Stack,599950,New development,930,3,3,3,Homerton,London,E9 6HP,645.1075268817204
Marcon Place,585000,Flat / Apartment,881,2,2,2,Hackney,London,E8 1LP,664.0181611804767
Lyndale Avenue,1750000,House,2223,4,4,4,Childs Hill,London,NW2 2QA,787.2244714349978
The Butts,2950000,House,4034,6,6,6,Brentford,Middlesex,TW8 8BJ,731.2840852751611
St. Dunstans Avenue,950000,House,1258,4,4,4,Acton,London,W3 6QH,755.1669316375198
South Bank Tower,910000,Flat / Apartment,683,1,1,1, South Bank,London,SE1 9EY,1332.3572474377745
Criffel Avenue,1849950,House,2372,5,5,5,Streatham,London,SW2 4AY,779.9114671163575
Ranelagh Mansions,700000,Flat / Apartment,758,2,2,2,New Kings Road,London,SW6 4RH,923.4828496042217
Bradmore Park Road,1275000,House,1419,3,3,3,Unknown,London,W6 0DT,898.5200845665962
South Park Road,425000,Flat / Apartment,549,1,1,1,Wimbledon,London,SW19 8TA,774.1347905282331
Rydens Road,1395000,House,3178,4,4,4,Walton-On-Thames,Surrey,KT12 3AA,438.9553178099434
Grove End Road,3000000,House,2432,4,4,4,St John's Wood,London,NW8 9LY,1233.5526315789473
Richmond Hill,2975000,House,3352,6,6,6,Richmond,Surrey,TW10 6QX,887.5298329355609
Deodar Road,775000,Flat / Apartment,990,2,2,2,Putney,London,SW15 2NJ,782.8282828282828
Rectory Grove,4950000,House,4482,7,7,7,Clapham,London,SW4 0DZ,1104.4176706827309
Muncaster Road,1850000,House,2088,4,4,4,Unknown,London,SW11 6NT,886.0153256704981
Bishops Gate,649000,New development,560,1,1,1,82-88 Fulham High Street,London,SW6 3LF,1158.9285714285713
Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW,1295.2072538860104
Amwell Court Estate,399950,Flat / Apartment,806,3,3,3, Finsbury Park,London,N4 2NY,496.21588089330027
Packington Street,500000,Flat / Apartment,527,1,1,1,Unknown,London,N1 7EA,948.7666034155598
Dalston Lane,1085000,House,1705,3,3,3,Hackney,London,E8 1NG,636.3636363636364
Bishops Road,1595000,House,1679,4,4,4,Fulham,London,SW6 7AS,949.9702203692674
Winterdown Road,850000,House,1336,3,3,3,Esher,Surrey,KT10 8LP,636.2275449101796
Gosberton Road,1500000,House,2084,5,5,5,Unknown,London,SW12 8LE,719.7696737044146
Hoadly Road,2800000,House,4050,6,6,6,Unknown,London,SW16 1AF,691.358024691358
Landmark Place At Tower Bridge,1799995,New development,1236,2,2,2,Water Lane,London,EC3R 6EA,1456.3066343042071
Emlyn Road,2700000,House,2685,5,5,5,Stamford Brook,London,W12 9TD,1005.586592178771
Berrymede Road,1150000,House,1301,4,4,4,Chiswick,London,W4 5JD,883.935434281322
Lonsdale Road,2475000,House,2406,5,5,5,Barnes,London,SW13 9DA,1028.6783042394015
Tyneham Road,799950,House,766,2,2,2,Battersea,London,SW11 5XR,1044.3211488250652
Eaton Square,2950000,Flat / Apartment,1181,2,2,2,Belgravia,London,SW1W 9DF,2497.883149872989
Hazel Lane,2500000,House,4420,6,6,6,Richmond,Surrey,TW10 7AP,565.6108597285067
New Road,950000,House,1397,3,3,3,Richmond,Surrey,TW10 7HY,680.0286327845383
Fontarabia Road,595000,Flat / Apartment,683,1,1,1,Unknown,London,SW11 5PE,871.1566617862372
Burland Road,1495000,House,1892,5,5,5,Unknown,London,SW11 6SA,790.169133192389
Southwold Mansions,625000,Flat / Apartment,693,2,2,2, Maida Vale,London,W9 2LF,901.8759018759018
Clarendon Court,935000,Flat / Apartment,829,2,2,2,33 Maida Vale,Little Venice,W9 1AJ,1127.8648974668274
Albion Road,599995,Flat / Apartment,710,2,2,2,Unknown,London,N16 9PH,845.0633802816901
Elrington Road,1650000,House,2048,4,4,4,Hackney,London,E8 3BJ,805.6640625
Waldeck Road,525000,New development,666,1,1,1,Ealing,London,W13 8LY,788.2882882882883
Clapham Common South Side,800000,Flat / Apartment,992,2,2,2,Unknown,London,SW4 9DX,806.4516129032259
Selkirk Road,995000,House,1716,5,5,5,Unknown,London,SW17 0EP,579.8368298368298
Rookery Hill,1750000,House,3184,4,4,4,Ashtead,Surrey,KT21 1EG,549.6231155778894
Snarsgate Street,775000,House,634,2,2,2,Unknown,London,W10 6QP,1222.397476340694
Aspley Road,1595000,House,2287,5,5,5,Unknown,London,SW18 2DB,697.4202011368606
Pinnacle House,1500000,Flat / Apartment,1438,3,3,3, Juniper Drive,London,SW18 1JE,1043.115438108484
Eaton Square,3750000,Flat / Apartment,1550,2,2,2,Belgravia,London,SW1W 9BG,2419.3548387096776
Petersham Road,3250000,House,2989,4,4,4,Richmond,Surrey,TW10 7AH,1087.3201739712279
Eastfields Avenue,895000,Flat / Apartment,1039,2,2,2, Putney,London,SW18 1FU,861.4051973051011
Sandmere Road,799999,Flat / Apartment,1076,3,3,3,Unknown,London,SW4 7QH,743.4934944237918
Barnard Mews,650000,Duplex,890,2,2,2, Battersea,London,SW11 1QU,730.3370786516854
Fitzwilliam Road,1395000,House,1918,3,3,3,Unknown,London,SW4 0DN,727.3201251303441
Alderside Apartments,550000,New development,547,1,1,1, 35 Salusbury Road,London,NW6 6BF,1005.4844606946983
The Watergardens,500000,Flat / Apartment,1008,3,3,3, Woodford Green,Essex,IG8 0GD,496.031746031746
Buckingham Road,1550000,House,1378,3,3,3,De Beauvoir,London,N1 4HY,1124.8185776487662
Kings College Court,4950000,New development,3330,3,3,3,55 Primrose Hill Road,London,NW3 3EA,1486.4864864864865
Kings College Court,2850000,Flat / Apartment,1752,2,2,2,55 Primrose Hill Road,London,NW3 3EA,1626.7123287671234
Greensward House,2250000,Flat / Apartment,2557,3,3,3, Fulham,London,SW6 2TG,879.9374266718811
Ternary Place,595000,New development,807,2,2,2,North Ealing,London,W5 3HJ,737.2986369268897
Wayneflete Tower Avenue,3300000,House,6309,5,5,5,Esher,Surrey,KT10 8QG,523.0622919638612
Oaklands Road,1225000,House,1758,4,4,4,Unknown,London,SW14 8NJ,696.8145620022754
Limehouse Wharf,1350000,Flat / Apartment,2264,2,2,2, Canary Wharf,London,E14 8BP,596.2897526501766
Lime Quarter,545000,New development,773,2,2,2,Bow,London,E3 3PJ,705.0452781371281
Leythe Road,1195000,House,1668,4,4,4,Acton,London,W3 8AW,716.4268585131895
Carlton House,822500,New development,869,2,2,2, Putney,London,SW15 2BS,946.4902186421174
Parliament View Apartments,1345000,Flat / Apartment,1030,3,3,3,1 Albert Embankment,London,SE1 7XL,1305.8252427184466
The Tower,1400000,Flat / Apartment,1145,2,2,2, Vauxhall,London,SW8 2BW,1222.707423580786
